"author","normalized_author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Martial.","martial","","","0.0","martial","0.9999713897705078"
"Hrotsvitha, approximately 935-approximately 975.","hrotsvitha approximately 935approximately 975","","","0.0","hrotsvitha","0.9999958276748656"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Ulpianus, Domitius, approximately 160-228.","ulpianus domitius approximately 160228","","","0.0","ulpianus, domitius","0.9999920129776"
"Varro, Marcus Terentius.","varro marcus terentius","","","0.0","varro, marcus terentius","0.9999778270721436"
"Martial.","martial","","","0.0","martial","0.9999713897705078"
"Valerius Flaccus, Gaius, active 1st century.","valerius flaccus gaius active 1st century","","","0.0","valerius flaccus, gaius","0.9999948740005492"
"Phaedrus.","phaedrus","","","0.0","phaedrus","0.999994158744812"
"Caesar, Julius.","caesar julius","","","0.0","caesar, julius","0.9999878406524658"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Valerius Flaccus, Gaius, active 1st century.","valerius flaccus gaius active 1st century","","","0.0","valerius flaccus, gaius","0.9999948740005492"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Sedulius, Scotus, active 848-860.","sedulius scotus active 848860","","","0.0","sedulius, scotus, active 848-860","0.9999558925628662"
"Albertano, da Brescia, active 13th century.","albertano da brescia active 13th century","","","0.0","albertano, da brescia, active 13th century","0.9999890327453612"
"Propertius, Sextus.","propertius sextus","","","0.0","propertius, sextus","0.9996812343597412"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Hrotsvitha, approximately 935-approximately 975.","hrotsvitha approximately 935approximately 975","","","0.0","hrotsvitha","0.9999958276748656"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Statius, P. Papinius","statius p papinius","","","0.0","statius, p. papinius (publius papinius)","0.9999499320983888"
"Orosius, Paulus.","orosius paulus","","","0.0","orosius, paulus","0.9999889135360718"
"Lambert, von Hersfeld, -1088?","lambert von hersfeld 1088","","","0.0","lambert, von hersfeld","0.9999780654907228"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Ammianus Marcellinus.","ammianus marcellinus","","","0.0","ammianus marcellinus","0.9999758005142212"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Peter Lombard, Bishop of Paris, approximately 1100-1160.","peter lombard bishop of paris approximately 11001160","","","0.0","peter lombard, bishop of paris","0.9999945163726808"
"Ammianus Marcellinus.","ammianus marcellinus","","","0.0","ammianus marcellinus","0.9999758005142212"
"Albertano, da Brescia, active 13th century.","albertano da brescia active 13th century","","","0.0","albertano, da brescia, active 13th century","0.9999890327453612"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Valerius Flaccus, Gaius, active 1st century.","valerius flaccus gaius active 1st century","","","0.0","valerius flaccus, gaius","0.9999948740005492"
"Pliny, the Younger the Younger.","pliny the younger the younger","","","0.0","pliny, the younger","0.999848246574402"
"Moravia (Czechoslovakia) Soud zemský.","moravia czechoslovakia soud zemsky","","","0.0","jerome, of moravia, active 1272-1304","0.9997637867927552"
"William, of Malmesbury, approximately 1090-1143.","william of malmesbury approximately 10901143","","","0.0","william, of malmesbury","0.9999880790710448"
"Cassian, John, approximately 360-approximately 435.","cassian john approximately 360approximately 435","","","0.0","cassian, john","0.9999316930770874"
"Eugippius.","eugippius","","","0.0","eugippius","0.9999788999557496"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Avitus, Saint, Bishop of Vienne.","avitus saint bishop of vienne","","","0.0","avitus, saint, bishop of vienne","0.9997851252555848"
"More, Thomas, Sir, Saint, 1478-1535.","more thomas sir saint 14781535","","","0.0","more, thomas, saint","0.9999971389770508"
"Patrizi, Francesco, 1413-1494.","patrizi francesco 14131494","","","0.0","patrizi, francesco","0.999953269958496"
"Lactantius, approximately 240-approximately 320,","lactantius approximately 240approximately 320","","","0.0","lactantius","0.9998390674591064"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Gregory I, Pope, approximately 540-604.","gregory i pope approximately 540604","","","0.0","gregory i, pope","0.9996540546417236"
"Ivo, Saint, Bishop of Chartres, approximately 1040-1116.","ivo saint bishop of chartres approximately 10401116","","","0.0","ivo, saint, bishop of chartres","0.9999971389770508"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Biondo Flavio, 1392-1463.","biondo flavio 13921463","","","0.0","biondo, flavio, 1392-1463","0.9999845027923584"
"Giovio, Paolo, 1483-1552.","giovio paolo 14831552","","","0.0","giòvio, paolo 1483-1552","0.9999370574951172"
"Salvian, of Marseilles, approximately 400-approximately 480.","salvian of marseilles approximately 400approximately 480","","","0.0","salvian, of marseilles","0.9999960660934448"
"Biondo Flavio, 1392-1463.","biondo flavio 13921463","","","0.0","biondo, flavio, 1392-1463","0.9999845027923584"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Scheffer, Johannes, 1621-1679.","scheffer johannes 16211679","","","0.0","scheffer, johannes reichard, active approximately 1580","0.9998914003372192"
"Ordericus Vitalis, 1075-1143?","ordericus vitalis 10751143","","","0.0","ordericus vitalis","0.9999964237213136"
"Giraldus, Cambrensis, 1146?-1223?","giraldus cambrensis 11461223","","","0.0","giraldus, cambrensis","0.9999752044677734"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Sannazaro, Jacopo, 1458-1530.","sannazaro jacopo 14581530","","","0.0","sannazaro, jacopo","0.9999953508377076"
"Phaedrus.","phaedrus","","","0.0","phaedrus","0.999994158744812"
"Apicius.","apicius","","","0.0","apicius","0.9999796152114868"
"Agobard, Saint, 769-840.","agobard saint 769840","","","0.0","agobard, saint","0.999969244003296"
"Benedetti, Giovanni Battista, 1530-1590.","benedetti giovanni battista 15301590","","","0.0","jacopone, da todi, 1230-1306","0.9996788501739502"
"Cassian, John, approximately 360-approximately 435,","cassian john approximately 360approximately 435","","","0.0","cassian, john","0.9999395608901978"
"Schott, Gaspar, 1608-1666.","schott gaspar 16081666","","","0.0","schottus, andreas, 1552-1629","0.9996795654296876"
"Walram, Bishop of Naumburg, -1111.","walram bishop of naumburg 1111","","","0.0","walram, bishop of naumburg","0.9999657869338988"
"Corippus, Flavius Cresconius.","corippus flavius cresconius","","","0.0","corippus, flavius cresconius","0.9999912977218628"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Scaliger, Joseph Juste, 1540-1609.","scaliger joseph juste 15401609","","","0.0","scaliger, joseph juste","0.999913215637207"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Ammianus Marcellinus","ammianus marcellinus","","","0.0","ammianus marcellinus","0.9999775886535645"
"Schott, Gaspar, 1608-1666.","schott gaspar 16081666","","","0.0","schottus, andreas, 1552-1629","0.9996795654296876"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Popma, Titus, d. 1620.","popma titus d 1620","","","0.0","popma, titus von, -1621","0.9999887943267822"
"Frischlin, Jakob, 1557-1621.","frischlin jakob 15571621","","","0.0","frischlin, nicodemus, 1547-1590","0.9998764991760254"
"Lanfranc, Archbishop of Canterbury, 1005?-1089.","lanfranc archbishop of canterbury 10051089","","","0.0","lanfranc, archbishop of canterbury","0.9999632835388184"
"Vitruvius Pollio","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Flodoard, of Reims, 894-966.","flodoard of reims 894966","","","0.0","flodoard, of reims","0.9999792575836182"
"Scheffer, Johannes, 1621-1679","scheffer johannes 16211679","","","0.0","scheffer, johannes reichard, active approximately 1580","0.999891757965088"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Vitruvius Pollio","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Ammianus Marcellinus.","ammianus marcellinus","","","0.0","ammianus marcellinus","0.9999758005142212"
"Orosius, Paulus","orosius paulus","","","0.0","orosius, paulus","0.9999895095825196"
"John, of Salisbury, Bishop of Chartres, -1180.","john of salisbury bishop of chartres 1180","","","0.0","john, of salisbury, bishop of chartres","0.9999935626983644"
"Boniface, Saint, Archbishop of Mainz, approximately 675-754","boniface saint archbishop of mainz approximately 675754","","","0.0","boniface, saint, archbishop of mainz","0.9999793767929076"
"Frontinus, Sextus Julius","frontinus sextus julius","","","0.0","frontinus, sextus julius","0.9999566078186036"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Ovid, 43 B.C.-17 or 18 A.D.","ovid 43 bc17 or 18 ad","","","0.0","ovid, 43 b.c.-17 a.d. or 18 a.d.","0.9999898672103882"
"Sunesen, Anders, abp. of Lund, approximately 1167-1228.","sunesen anders abp of lund approximately 11671228","","","0.0","sunesen, anders, -1228","0.9999979734420776"
"Glaber, Rodulfus, approximately 985-approximately 1046.","glaber rodulfus approximately 985approximately 1046","","","0.0","glaber, rodulfus","0.999970316886902"
"Ovid, 43 B.C.-17 or 18 A.D.","ovid 43 bc17 or 18 ad","","","0.0","ovid, 43 b.c.-17 a.d. or 18 a.d.","0.9999898672103882"
"Quintilian.","quintilian","","","0.0","quintilian","0.9999827146530152"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Gregory I, Pope, approximately 540-604","gregory i pope approximately 540604","","","0.0","gregory i, pope","0.9997299313545228"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Vitruvius Pollio.","vitruvius pollio","","","0.0","vitruvius pollio","0.9999804496765136"
"Catullus, Gaius Valerius.","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999910593032836"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Hrotsvitha, approximately 935-approximately 975.","hrotsvitha approximately 935approximately 975","","","0.0","hrotsvitha","0.9999958276748656"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Dati, Leonardo, -1425.","dati leonardo 1425","","","0.0","dati, leonardo, 1408-1472","0.9999954700469972"
"Erigena, Johannes Scotus, approximately 810-approximately 877.","erigena johannes scotus approximately 810approximately 877","","","0.0","erigena, johannes scotus","0.9999969005584716"
"Melanchthon, Philipp, 1497-1560.","melanchthon philipp 14971560","","","0.0","melancthon, philipp","0.9999969005584716"
"Ammianus Marcellinus.","ammianus marcellinus","","","0.0","ammianus marcellinus","0.9999758005142212"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Propertius, Sextus","propertius sextus","","","0.0","propertius, sextus","0.9996498823165894"
"Fortunatus, Venantius Honorius Clementianus, approximately 540-approximately 600","fortunatus venantius honorius clementianus approximately 540approximately 600","","","0.0","fortunatus, venantius honorius clementianus","0.999992609024048"
"Frontinus, Sextus Julius","frontinus sextus julius","","","0.0","frontinus, sextus julius","0.9999566078186036"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Sylvester II, Pope, approximately 945-1003.","sylvester ii pope approximately 9451003","","","0.0","sylvester ii, pope","0.9999074935913086"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Krahner, Leopold Heinrich, 1810-1884.","krahner leopold heinrich 18101884","","","0.0","krahner, leopold, 1810-1884","0.9999403953552246"
"Statius, P. Papinius","statius p papinius","","","0.0","statius, p. papinius (publius papinius)","0.9999499320983888"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Leo, the Deacon, approximately 950-","leo the deacon approximately 950","","","0.0","leo, the deacon","0.9998893737792968"
"Catullus, Gaius Valerius","catullus gaius valerius","","","0.0","catullus, gaius valerius","0.9999933242797852"
"Frontinus, Sextus Julius","frontinus sextus julius","","","0.0","frontinus, sextus julius","0.9999566078186036"
"Martial.","martial","","","0.0","martial","0.9999713897705078"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Rutilius Namatianus, Claudius, active 5th century.","rutilius namatianus claudius active 5th century","","","0.0","namatianus, claudius rutilius, active 5th century","0.9999940395355223"
"Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","seneca lucius annaeus approximately 4 bc65 ad","","","0.0","seneca, lucius annaeus, approximately 4 b.c.-65 a.d.","0.9999599456787108"
"Orosius, Paulus.","orosius paulus","","","0.0","orosius, paulus","0.9999889135360718"
"Claudianus Mamertus, -approximately 474.","claudianus mamertus approximately 474","","","0.0","claudianus mamertus","0.9999914169311525"
"Juvencus, Caius Vettius Aquilinus.","juvencus caius vettius aquilinus","","","0.0","juvencus, caius vettius aquilinus","0.9999969005584716"
"Caesar, Julius.","caesar julius","","","0.0","caesar, julius","0.9999878406524658"
"Frontinus, Sextus Julius.","frontinus sextus julius","","","0.0","frontinus, sextus julius","0.9999374151229858"
"Apuleius.","apuleius","","","0.0","apuleius","0.9999918937683104"
"Martial","martial","","","0.0","martial","0.9999687671661376"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
"Propertius, Sextus.","propertius sextus","","","0.0","propertius, sextus","0.9996812343597412"
"Horatius, Romanus, active 1450.","horatius romanus active 1450","","","0.0","horatius romanus","0.9999428987503052"
"Ambrose, Saint, Bishop of Milan, -397","ambrose saint bishop of milan 397","","","0.0","ambrose, saint, bishop of milan","0.9999558925628662"
"Gregory I, Pope, approximately 540-604","gregory i pope approximately 540604","","","0.0","gregory i, pope","0.9997299313545228"
"Gerhoh, of Reichersberg, Provost of Reichersberg, approximately 1093-1169","gerhoh of reichersberg provost of reichersberg approximately 10931169","","","0.0","gerhoh, of reichersberg, provost of reichersberg","0.9999885559082032"
"Lanfranc, Archbishop of Canterbury, 1005?-1089.","lanfranc archbishop of canterbury 10051089","","","0.0","lanfranc, archbishop of canterbury","0.9999632835388184"
"Martial.","martial","","","0.0","martial","0.9999713897705078"
"Walahfrid Strabo, 807?-849","walahfrid strabo 807849","","","0.0","walahfrid strabo, 807?-849","0.9999971389770508"
"Ovid, 43 B.C.-17 or 18 A.D.","ovid 43 bc17 or 18 ad","","","0.0","ovid, 43 b.c.-17 a.d. or 18 a.d.","0.9999898672103882"
"Ulpianus, Domitius, approximately 160-228.","ulpianus domitius approximately 160228","","","0.0","ulpianus, domitius","0.9999920129776"
"Philastrius, Saint, Bp. of Brescia, active 4th century.","philastrius saint bp of brescia active 4th century","","","0.0","philastrius, saint, bishop of brescia","0.999936580657959"
"Haase, Albert, 1848-","haase albert 1848","","","0.0","haase, friedrich, 1808-1867","0.9998403787612916"
"Erigena, Johannes Scotus, approximately 810-approximately 877.","erigena johannes scotus approximately 810approximately 877","","","0.0","erigena, johannes scotus","0.9999969005584716"
"Optatus, Saint, Bishop of Mileve, active 4th century.","optatus saint bishop of mileve active 4th century","","","0.0","optatus, saint, bishop of mileve","0.999982476234436"
"Schömann, George Friedrich, 1793-1879.","schomann george friedrich 17931879","","","0.0","schömann, georg friedrich, 1793-1879","0.9998283386230468"
"Kühlewein, Hugo, 1847-","kuhlewein hugo 1847","","","0.0","laemmer, hugo, 1835-1918","0.9998966455459596"
"Hartman, J. L. V.","hartman j l v","","","0.0","hartman, j. j. (jacobus johannes), 1851-1924","0.9998488426208496"
"Amarcius, active 11th century.","amarcius active 11th century","","","0.0","amarcius","0.9999933242797852"
"Quintilian","quintilian","","","0.0","quintilian","0.9999840259552002"
