"author","normalized_author","distilbert_author","confidence"
"Rostowski, Stanislaw, 1711-1784.","rostowski stanislaw 17111784","{'authorized_name': 'morawski, kazimierz, 1852-1925', 'author_id': 'A3270'}","0.5586934089660645"
"Valerius Flaccus, Gaius, active 1st century.","valerius flaccus gaius active 1st century","{'authorized_name': 'valerius flaccus, gaius', 'author_id': 'A4806'}","0.9999948740005493"
"Livy.","livy","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Duns Scotus, John, ca. 1266-1308.","duns scotus john ca 12661308","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}","0.999996542930603"
"Navarrete, Jean André, 1730-1811.","navarrete jean andre 17301811","{'authorized_name': 'galilei, galileo', 'author_id': 'A4716'}","0.3812297284603119"
"Caesar, Julius.","caesar julius","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999878406524658"
"Cicero, Marcus Tullius.","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Commodianus.","commodianus","{'authorized_name': 'commodianus', 'author_id': 'A5248'}","0.9999915361404419"
"Tacitus, Cornelius.","tacitus cornelius","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","0.9999889135360718"
"Suarez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Cicero, Marcus Tullius.","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Copernicus, Nicolaus, 1473-1543","copernicus nicolaus 14731543","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","0.9999145269393921"
"Cicero, Marcus Tullius.","cicero marcus tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Nonius Marcellus, active 4th century.","nonius marcellus active 4th century","{'authorized_name': 'nonius marcellus', 'author_id': 'A4349'}","0.9999632835388184"
"Bacon, Roger, 1214?-1294.","bacon roger 12141294","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","0.9999909400939941"
"Nakatenus, Wilhelm, 1617-1682.","nakatenus wilhelm 16171682","{'authorized_name': 'institoris, heinrich, 1430-1505', 'author_id': 'A5676'}","0.21900403499603271"
"Unknown","unknown","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Gretser, Jakob, 1562-1625.","gretser jakob 15621625","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}","0.9999815225601196"
"Palladius, Rutilius Taurus Aemilianus.","palladius rutilius taurus aemilianus","{'authorized_name': 'palladius, rutilius taurus aemilianus', 'author_id': 'A4315'}","0.99993896484375"
"Lucretius Carus, Titus.","lucretius carus titus","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","0.9999898672103882"
"Huygens, Christiaan, 1629-1695.","huygens christiaan 16291695","{'authorized_name': 'huygens, christiaan, 1629-1695', 'author_id': 'A4138'}","0.9999881982803345"
"Suárez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
"Caesar, Julius.","caesar julius","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999878406524658"
"Valerius Maximus.","valerius maximus","{'authorized_name': 'valerius maximus', 'author_id': 'A4545'}","0.9991029500961304"
"Livy.","livy","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Silius Italicus, Tiberius Catius.","silius italicus tiberius catius","{'authorized_name': 'silius italicus, tiberius catius', 'author_id': 'A4804'}","0.9999933242797852"
"Victor, Sextus Aurelius.","victor sextus aurelius","{'authorized_name': 'victor, sextus aurelius', 'author_id': 'A4936'}","0.9998279809951782"
"Callaghan, John, 1605-1654,","callaghan john 16051654","{'authorized_name': 'lynch, john, approximately 1599-approximately 1673', 'author_id': 'A3906'}","0.4493189752101898"
"Juvenal.","juvenal","{'authorized_name': 'juvenal', 'author_id': 'A5304'}","0.9998171925544739"
"Kircher, Athanasius, 1602-1680","kircher athanasius 16021680","{'authorized_name': 'kircher, athanasius, 1602-1680', 'author_id': 'A4106'}","0.9999908208847046"
"Claudianus, Claudius","claudianus claudius","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}","0.9998482465744019"
"Knabenbauer, Joseph, 1839-1911.","knabenbauer joseph 18391911","{'authorized_name': 'krahner, leopold, 1810-1884', 'author_id': 'A6102'}","0.19159741699695587"
"Suárez, Francisco, 1548-1617.","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
"Florus, Lucius Annaeus.","florus lucius annaeus","{'authorized_name': 'florus, lucius annaeus', 'author_id': 'A5047'}","0.9999747276306152"
"Bellarmino, Roberto Francesco Romolo, Saint, 1542-1621.","bellarmino roberto francesco romolo saint 15421621","{'authorized_name': 'longolius, christophorus, 1488-1522', 'author_id': 'A3945'}","0.17065119743347168"
"Suarez, Francisco, 1548-1617,","suarez francisco 15481617","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.38003304600715637"
"Propertius, Sextus.","propertius sextus","{'authorized_name': 'propertius, sextus', 'author_id': 'A4889'}","0.9996812343597412"
"Noceti, Carlo, 1694-1759.","noceti carlo 16941759","{'authorized_name': ""nobili, roberto de' 1577-1656"", 'author_id': 'A3865'}","0.5690732598304749"
"Maffei, Giovanni Pietro, 1536?-1603.","maffei giovanni pietro 15361603","{'authorized_name': 'maffei, giovanni pietro, 1536?-1603', 'author_id': 'A3869'}","0.9999895095825195"
"Thomas, Aquinas, Saint, 1225?-1274.","thomas aquinas saint 12251274","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","0.9999904632568359"
"Franchis, Francesco de.","franchis francesco de","{'authorized_name': 'negri, francesco, 1452-approximately 1523', 'author_id': 'A4289'}","0.2980039119720459"
"Pliny, the Elder","pliny the elder","{'authorized_name': 'pliny, the elder', 'author_id': 'A5537'}","0.9999657869338989"
