"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Thomas, Aquinas, Saint, 1225?-1274.","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","1.0","{'authorized_name': 'thomas, aquinas, saint', 'author_id': 'A4997'}","0.9999904632568359"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Torsellino, Orazio, 1545-1599.","","","0.0","{'authorized_name': 'horatius romanus', 'author_id': 'A3205'}","0.27943143248558044"
"Juvencus, Caius Vettius Aquilinus.","","{'authorized_name': 'juvencus, caius vettius aquilinus', 'author_id': 'A5223'}","0.96875","{'authorized_name': 'juvencus, caius vettius aquilinus', 'author_id': 'A5223'}","0.9999969005584717"
"Lucretius Carus, Titus.","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","1.0","{'authorized_name': 'lucretius carus, titus', 'author_id': 'A5001'}","0.9999898672103882"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Hyginus, Gromaticus.","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}","1.0","{'authorized_name': 'hyginus, gromaticus', 'author_id': 'A4606'}","0.9982435703277588"
"Horace","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999886751174927"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Suárez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.5979602336883545"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Rostowski, Stanislaw, 1711-1784.","","","0.0","{'authorized_name': 'morawski, kazimierz, 1852-1925', 'author_id': 'A3270'}","0.5586934089660645"
"Valerius Flaccus, Gaius, active 1st century.","","","0.0","{'authorized_name': 'valerius flaccus, gaius', 'author_id': 'A4806'}","0.9999948740005493"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Duns Scotus, John, ca. 1266-1308.","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}","1.0","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}","0.999996542930603"
"Navarrete, Jean André, 1730-1811.","","","0.0","{'authorized_name': 'galilei, galileo', 'author_id': 'A4716'}","0.3812297284603119"
"Caesar, Julius.","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999878406524658"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Commodianus.","{'authorized_name': 'commodianus', 'author_id': 'A5248'}","{'authorized_name': 'commodianus', 'author_id': 'A5248'}","1.0","{'authorized_name': 'commodianus', 'author_id': 'A5248'}","0.9999915361404419"
"Tacitus, Cornelius.","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","1.0","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","0.9999889135360718"
"Suarez, Francisco, 1548-1617.","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","{'authorized_name': 'suárez, francisco, 1548-1617', 'author_id': 'A4125'}","1.0","{'authorized_name': 'gonzález téllez, manuel, -1649', 'author_id': 'A3366'}","0.410325288772583"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Copernicus, Nicolaus, 1473-1543","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","1.0","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","0.9999145269393921"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Nonius Marcellus, active 4th century.","","","0.0","{'authorized_name': 'nonius marcellus', 'author_id': 'A4349'}","0.9999632835388184"
"Bacon, Roger, 1214?-1294.","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","1.0","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}","0.9999909400939941"
"Nakatenus, Wilhelm, 1617-1682.","","","0.0","{'authorized_name': 'institoris, heinrich, 1430-1505', 'author_id': 'A5676'}","0.21900403499603271"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Gretser, Jakob, 1562-1625.","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}","1.0","{'authorized_name': 'gretser, jakob, 1562-1625', 'author_id': 'A3957'}","0.9999815225601196"
