"author","deterministic_author","fuzzy_author","fuzzy_author_score","distilbert_author","distilbert_author_score"
"Ovid, 43 B.C.-17 or 18 A.D.","","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9333333333333332","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999898672103882"
"Propertius, Sextus.","","","0.0","{'authorized_name': 'propertius, sextus', 'author_id': 'A4889'}","0.9996812343597412"
"Quintilian.","","{'authorized_name': 'quintilian', 'author_id': 'A5545'}","0.9523809523809522","{'authorized_name': 'quintilian', 'author_id': 'A5545'}","0.9999827146530151"
"Körtge, Gustav, b. 1876.","","","0.0","{'authorized_name': 'künstle, karl, 1859-1932', 'author_id': 'A6240'}","0.38720595836639404"
"Tibullus.","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","1.0","{'authorized_name': 'tibullus', 'author_id': 'A4791'}","0.9999387264251709"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Krumbiegel, Richard.","","","0.0","{'authorized_name': 'krumbiegel, richard, 1867-', 'author_id': 'A6239'}","0.9999794960021973"
"Vegetius Renatus, Flavius.","{'authorized_name': 'vegetius renatus, flavius', 'author_id': 'A4794'}","{'authorized_name': 'vegetius renatus, flavius', 'author_id': 'A4794'}","1.0","{'authorized_name': 'vegetius renatus, flavius', 'author_id': 'A4794'}","0.9999921321868896"
"Boethius, d. 524.","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","1.0","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}","0.9999110698699951"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Caesar, Julius.","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999878406524658"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}","{'authorized_name': 'sallust', 'author_id': 'A5543'}","1.0","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.999321460723877"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}","{'authorized_name': 'sallust', 'author_id': 'A5543'}","1.0","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.999321460723877"
"Polentone, Sicco, 14th/15th cent.","","","0.0","{'authorized_name': 'polentone, sicco', 'author_id': 'A4333'}","0.9999545812606812"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Caesar, Julius.","","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","1.0","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}","0.9999878406524658"
"Curtius Rufus, Quintus.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1.0","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9994974136352539"
"Ausonius, Decimus Magnus.","","","0.0","{'authorized_name': 'ausonius, decimus magnus', 'author_id': 'A5314'}","0.9999909400939941"
"Persius.","{'authorized_name': 'persius', 'author_id': 'A4892'}","{'authorized_name': 'persius', 'author_id': 'A4892'}","1.0","{'authorized_name': 'persius', 'author_id': 'A4892'}","0.9999924898147583"
"Augustine, of Hippo, Saint, 354-430.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","1.0","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","0.9999635219573975"
"Augustine, Saint, Bishop of Hippo.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","1.0","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","0.9998107552528381"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Suetonius, ca. 69-ca. 122.","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}","1.0","{'authorized_name': 'suetonius, approximately 69-approximately 122', 'author_id': 'A4799'}","0.9999945163726807"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Ovid, 43 B.C.-17 or 18 A.D.","","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9333333333333332","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999898672103882"
"Possevino, Antonio, 1533 or 4-1611.","","","0.0","{'authorized_name': 'obsequens, julius', 'author_id': 'A5175'}","0.4744226336479187"
"Varro, Marcus Terentius.","","{'authorized_name': 'varro, marcus terentius', 'author_id': 'A4504'}","1.0","{'authorized_name': 'varro, marcus terentius', 'author_id': 'A4504'}","0.9999778270721436"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Euler, Leonhard, 1707-1783.","{'authorized_name': 'euler, leonhard, 1707-1783', 'author_id': 'A4169'}","{'authorized_name': 'euler, leonhard, 1707-1783', 'author_id': 'A4169'}","1.0","{'authorized_name': 'euler, leonhard, 1707-1783', 'author_id': 'A4169'}","0.9999951124191284"
"Kongelige Danske videnskabernes selskab.","","","0.0","{'authorized_name': 'wolff, christian, freiherr von, 1679-1754', 'author_id': 'A4167'}","0.6100831627845764"
"Hoffmann, Karl, fl. 1829-1834.","","","0.0","{'authorized_name': 'hoffmann, christian gottfried, 1692-1735', 'author_id': 'A3377'}","0.9996010661125183"
"Forcellini, Egidio, 1688-1768.","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}","1.0","{'authorized_name': 'forcellini, egidio, 1688-1768', 'author_id': 'A3333'}","0.9999890327453613"
"Augustine, Saint, Bishop of Hippo.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","1.0","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","0.9998107552528381"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Jordanus, Nemorarius, 13th cent.","","","0.0","{'authorized_name': 'nemesianus, marcus aurelius olympius', 'author_id': 'A4347'}","0.5699784159660339"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Appendini, Francesco Maria, 1769-1837.","","","0.0","{'authorized_name': 'augurelli, giovanni aurelio, approximately 1456-1524?', 'author_id': 'A2964'}","0.631189227104187"
"Abu al-Faraj al-Isbahani, 897 or 8-967.","","","0.0","{'authorized_name': 'rāzī, abū bakr muḥammad ibn zakarīyā, 865?-925?', 'author_id': 'A5671'}","0.8606710433959961"
"Weidgen, J. [from old catalog]","","","0.0","{'authorized_name': 'weichert, august, 1788-1844', 'author_id': 'A6089'}","0.7644960284233093"
"Voïgtius, Richard. [from old catalog]","","","0.0","{'authorized_name': 'theodwin, of liège', 'author_id': 'A5388'}","0.5087081789970398"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Cunich, Raimondo, 1719-1794.","{'authorized_name': 'cunich, raimondo, 1719-1794', 'author_id': 'A4187'}","{'authorized_name': 'cunich, raimondo, 1719-1794', 'author_id': 'A4187'}","1.0","{'authorized_name': 'cunich, raimondo, 1719-1794', 'author_id': 'A4187'}","0.9999538660049438"
"Oehmichen, Gustave, 1846- [from old catalog]","","","0.0","{'authorized_name': 'otfrid, von weissenburg, active 9th century', 'author_id': 'A5026'}","0.5893320441246033"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}","{'authorized_name': 'sallust', 'author_id': 'A5543'}","1.0","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.999321460723877"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}","{'authorized_name': 'sallust', 'author_id': 'A5543'}","1.0","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.999321460723877"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Peerlkamp, Petrus Hofman, 1786-1865. [from old catalog]","","","0.0","{'authorized_name': 'peerlkamp, petrus hofman, 1786-1865', 'author_id': 'A3237'}","0.9999890327453613"
"Wade, Thomas, 1805-1875.","","","0.0","{'authorized_name': 'wilson, thomas, 1525?-1581', 'author_id': 'A5622'}","0.2926814556121826"
"Gellius, Aulus.","","{'authorized_name': 'gellius, aulus', 'author_id': 'A5356'}","0.9166666666666665","{'authorized_name': 'gellius, aulus', 'author_id': 'A5356'}","0.9985314607620239"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}","{'authorized_name': 'sallust', 'author_id': 'A5543'}","1.0","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.999321460723877"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Tarenghi, Paolo. [from old catalog]","","","0.0","{'authorized_name': 'paul, the apostle, saint', 'author_id': 'A3874'}","0.3218143880367279"
"Curtius Rufus, Quintus.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1.0","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9994974136352539"
"Curtius Rufus, Quintus.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1.0","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9994974136352539"
"Seneca, Lucius Annaeus, ca. 4 B.C.-65 A.D.","","","0.0","{'authorized_name': 'seneca, lucius annaeus, approximately 4 b.c.-65 a.d.', 'author_id': 'A4655'}","0.9999287128448486"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Lashchevskii, Barlaam, d. 1774. [from old catalog]","","","0.0","{'authorized_name': 'lascaris, janus, 1445?-1535', 'author_id': 'A6150'}","0.4209865629673004"
"[Johanneau, Eloi] [from old catalog]","","","0.0","{'authorized_name': 'onions, john henry, 1852-1889', 'author_id': 'A6258'}","0.4277453124523163"
"Bolle, L.","","","0.0","{'authorized_name': 'boll, franz, 1867-1924', 'author_id': 'A3260'}","0.658091127872467"
"Doehner, Theodor. [from old catalog]","","","0.0","{'authorized_name': 'lehnerdt, maximilian 1861-1945?', 'author_id': 'A5649'}","0.1845090389251709"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Curtius Rufus, Quintus.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1.0","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9994974136352539"
"Ilberg, Hugo. [from old catalog]","","","0.0","{'authorized_name': 'ilberg, friedrich theodor hugo, 1828-1883', 'author_id': 'A6113'}","0.9999140501022339"
"Tacitus, Cornelius.","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","1.0","{'authorized_name': 'tacitus, cornelius', 'author_id': 'A4796'}","0.9999889135360718"
"Fränkel, Max, 1846-1903. [from old catalog]","","","0.0","{'authorized_name': 'seckel, emil, 1864-1924', 'author_id': 'A3208'}","0.9096495509147644"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Sallust, 86-34 B.C.","{'authorized_name': 'sallust', 'author_id': 'A5543'}","{'authorized_name': 'sallust', 'author_id': 'A5543'}","1.0","{'authorized_name': 'sallust', 'author_id': 'A5543'}","0.999321460723877"
"Stuerenburg, Henry. [from old catalog]","","","0.0","{'authorized_name': 'stewechius, godescalcus, 1551-1586', 'author_id': 'A5943'}","0.3291568458080292"
"Engbers, Bernard H. [from old catalog]","","","0.0","{'authorized_name': 'rühl, franz, 1845-1916', 'author_id': 'A6293'}","0.14152486622333527"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Dankovszky, Gregor, 1784-1857.","","","0.0","{'authorized_name': 'dantyszek, jan, 1485-1548', 'author_id': 'A4001'}","0.9975762963294983"
"Wodrig, Albert. [from old catalog]","","","0.0","{'authorized_name': 'wesenberg, albert sadolin, 1804-1876', 'author_id': 'A6291'}","0.8404192924499512"
"Orosius, Paulus.","","","0.0","{'authorized_name': 'orosius, paulus', 'author_id': 'A5036'}","0.9999889135360718"
"Goering, A. [from old catalog]","","","0.0","{'authorized_name': 'gobi, jean, active 1323-1350', 'author_id': 'A3669'}","0.35822680592536926"
"Gregorius, abp. Corinth, fl. ca. 1200. [from old catalog]","","","0.0","{'authorized_name': 'gregorius, magister', 'author_id': 'A4698'}","0.5927833914756775"
"Ovid, 43 B.C.-17 or 18 A.D.","","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9333333333333332","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999898672103882"
"Virgil.","{'authorized_name': 'virgil', 'author_id': 'A4830'}","{'authorized_name': 'virgil', 'author_id': 'A4830'}","1.0","{'authorized_name': 'virgil', 'author_id': 'A4830'}","0.9998739957809448"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Neuman, Paulus. [from old catalog]","","","0.0","{'authorized_name': 'paulinus, of nola, saint, approximately 353-431', 'author_id': 'A4499'}","0.2868274450302124"
"Dobrovský, Josef, 1753-1829.","","","0.0","{'authorized_name': 'lindenbrog, heinrich, 1570-1642', 'author_id': 'A6016'}","0.5875585675239563"
"Lemcke, Otto. [from old catalog]","","","0.0","{'authorized_name': 'seeck, otto, 1850-1921', 'author_id': 'A6131'}","0.37392866611480713"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","1.0","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}","0.9998855590820312"
"Leeuwen, Joannes van, 19th cent.","","","0.0","{'authorized_name': 'leeuwen, j. van, jr. (jan van), 1850-1924', 'author_id': 'A3222'}","0.9999794960021973"
"[Lawrance, Walter John] [from old catalog]","","","0.0","{'authorized_name': 'hugo, de lawton, active 14th century', 'author_id': 'A3858'}","0.2953038513660431"
"Valerius Maximus. [from old catalog]","","","0.0","{'authorized_name': 'valerius maximus', 'author_id': 'A4545'}","0.9909042716026306"
"Peerlkamp, Petrus Hofman, 1786-1865. [from old catalog]","","","0.0","{'authorized_name': 'peerlkamp, petrus hofman, 1786-1865', 'author_id': 'A3237'}","0.9999890327453613"
"Horace.","{'authorized_name': 'horace', 'author_id': 'A4876'}","{'authorized_name': 'horace', 'author_id': 'A4876'}","1.0","{'authorized_name': 'horace', 'author_id': 'A4876'}","0.9999887943267822"
"Meineke, August, 1790-1870. [from old catalog]","","","0.0","{'authorized_name': 'meineke, august, 1790-1870', 'author_id': 'A3492'}","0.9999828338623047"
"Ovid, 43 B.C.-17 or 18 A.D.","","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9333333333333332","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999898672103882"
"Catullus, Gaius Valerius.","","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9565217391304348","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999910593032837"
"Catullus, Gaius Valerius.","","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9565217391304348","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}","0.9999910593032837"
"Sybel, Ludwig von, 1846-1929.","","","0.0","{'authorized_name': 'bebel, heinrich', 'author_id': 'A4745'}","0.6396334767341614"
"Struś, Józef, 1510-1568.","","","0.0","{'authorized_name': 'stiblin, caspar', 'author_id': 'A3788'}","0.25654497742652893"
"Copernicus, Nicolaus, 1473-1543.","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","1.0","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","0.9999057054519653"
"Ovid, 43 B.C.-17 A.D. or 18 A.D.,","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","1.0","{'authorized_name': 'ovid, 43 b.c.-17 a.d. or 18 a.d.', 'author_id': 'A5522'}","0.9999902248382568"
"Nicholas, of Cusa, Cardinal, 1401-1464.","{'authorized_name': 'nicholas, of cusa, cardinal, 1401-1464', 'author_id': 'A5712'}","{'authorized_name': 'nicholas, of cusa, cardinal, 1401-1464', 'author_id': 'A5712'}","1.0","{'authorized_name': 'nicholas, of cusa, cardinal, 1401-1464', 'author_id': 'A5712'}","0.9999853372573853"
"Mead, Richard, 1673-1754.","","","0.0","{'authorized_name': 'bate, john pawley, 1857-1921', 'author_id': 'A3186'}","0.2953881621360779"
"Dürer, Albrecht, 1471-1528.","","","0.0","{'authorized_name': 'roth, albrecht wilhelm, 1757-1834', 'author_id': 'A3408'}","0.9731408953666687"
"Schedel, Hartmann, 1440-1514.","","","0.0","{'authorized_name': 'melissus, paulus, 1539-1602', 'author_id': 'A3124'}","0.47691020369529724"
"Copernicus, Nicolaus, 1473-1543.","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","1.0","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}","0.9999057054519653"
"Dürer, Albrecht, 1471-1528.","","","0.0","{'authorized_name': 'roth, albrecht wilhelm, 1757-1834', 'author_id': 'A3408'}","0.9731408953666687"
"Servetus, Michael, 1511?-1553,","{'authorized_name': 'servetus, michael, 1511?-1553', 'author_id': 'A4173'}","{'authorized_name': 'servetus, michael, 1511?-1553', 'author_id': 'A4173'}","1.0","{'authorized_name': 'servetus, michael, 1511?-1553', 'author_id': 'A4173'}","0.9999852180480957"
"Rudio, Eustachio, 1551-1611,","","","0.0","{'authorized_name': 'eustachius de matera c. 1268/70', 'author_id': 'A2949'}","0.544780433177948"
"Liceti, Fortunio, 1577-1657.","","","0.0","{'authorized_name': 'tribraco, gaspare, 1439-approximately 1493', 'author_id': 'A3761'}","0.2584111988544464"
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.","{'authorized_name': 'agrippa von nettesheim, heinrich cornelius, 1486?-1535', 'author_id': 'A4098'}","{'authorized_name': 'agrippa von nettesheim, heinrich cornelius, 1486?-1535', 'author_id': 'A4098'}","1.0","{'authorized_name': 'agrippa von nettesheim, heinrich cornelius, 1486?-1535', 'author_id': 'A4098'}","0.999996542930603"
"Borelli, Giovanni Alfonso, 1608-1679.","","","0.0","{'authorized_name': 'boccaccio, giovanni, 1313-1375', 'author_id': 'A4348'}","0.5217107534408569"
"Gentile da Foligno, -1384.","","","0.0","{'authorized_name': 'gentili, scipione, 1563-1616', 'author_id': 'A3130'}","0.9994925260543823"
"Vitruvius Pollio.","","{'authorized_name': 'vitruvius pollio', 'author_id': 'A4853'}","0.9411764705882352","{'authorized_name': 'vitruvius pollio', 'author_id': 'A4853'}","0.9999804496765137"
"Du Creux, François, 1596?-1666.","","","0.0","{'authorized_name': 'amar du rivier, jean-augustin, 1765-1837', 'author_id': 'A6079'}","0.19440293312072754"
"Curtius Rufus, Quintus,","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","1.0","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}","0.9995384216308594"
"Macrobius, Ambrosius Aurelius Theodosius,","{'authorized_name': 'macrobius, ambrosius aurelius theodosius', 'author_id': 'A5055'}","{'authorized_name': 'macrobius, ambrosius aurelius theodosius', 'author_id': 'A5055'}","1.0","{'authorized_name': 'macrobius, ambrosius aurelius theodosius', 'author_id': 'A5055'}","0.9999902248382568"
"Hume, David, 1711-1776.","","","0.0","{'authorized_name': 'hume, david, 1560?-1630?', 'author_id': 'A5617'}","0.9999865293502808"
"Graswinckel, Theod. I. F., 1600-1666","","","0.0","{'authorized_name': 'schubart, wilhelm, 1873-1960', 'author_id': 'A6279'}","0.5605170726776123"
"Gentili, Alberico, 1552-1608.","","","0.0","{'authorized_name': 'gentili, scipione, 1563-1616', 'author_id': 'A3130'}","0.9993979930877686"
"Klein, Johann von, 1659-1732","","","0.0","{'authorized_name': 'jansenius, cornelius, 1510-1576', 'author_id': 'A4213'}","0.5678273439407349"
"Menochio, Giacomo, 1532-1607","","","0.0","{'authorized_name': 'ménage, gilles, 1613-1692', 'author_id': 'A3880'}","0.29727715253829956"
"Paulutius, Marcus Antonius, d. ca. 1730","","","0.0","{'authorized_name': 'john paul ii, pope, 1920-2005', 'author_id': 'A3380'}","0.32377541065216064"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Zoesius, Hendrik, -1627.","","","0.0","{'authorized_name': 'jansenius, cornelius, 1510-1576', 'author_id': 'A4213'}","0.2833443880081177"
"Wesenbeck, Matthaeus, 1531-1586","","","0.0","{'authorized_name': 'wesenberg, albert sadolin, 1804-1876', 'author_id': 'A6291'}","0.19071096181869507"
"Brunnemann, Johann, 1608-1672.","","","0.0","{'authorized_name': ""girolamo d'este 1450-1530"", 'author_id': 'A2959'}","0.8571648001670837"
"Panciroli, Guido, 1523-1599","","","0.0","{'authorized_name': 'guido, da pisa', 'author_id': 'A5216'}","0.5164137482643127"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Matteucci, Aloysius","","","0.0","{'authorized_name': 'augurelli, giovanni aurelio, approximately 1456-1524?', 'author_id': 'A2964'}","0.48933494091033936"
"Schubart, Georg, 1650-1701","","","0.0","{'authorized_name': 'schubart, wilhelm, 1873-1960', 'author_id': 'A6279'}","0.608045756816864"
"Barbosa, Agostinho, 1590-1649.","","","0.0","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","0.21633319556713104"
"Livy.","{'authorized_name': 'livy', 'author_id': 'A4979'}","{'authorized_name': 'livy', 'author_id': 'A4979'}","1.0","{'authorized_name': 'livy', 'author_id': 'A4979'}","0.9995575547218323"
"Ragusa, Dalmatia.","","","0.0","{'authorized_name': 'hermann, of carinthia', 'author_id': 'A4443'}","0.43600186705589294"
"Unknown","","","0.0","{'authorized_name': 'alan, of tewkesbury', 'author_id': 'A4551'}","0.11027003079652786"
"Manz, Kaspar, 1606-1677","","","0.0","{'authorized_name': 'schermann, theodor, 1878-1922', 'author_id': 'A6273'}","0.27506372332572937"
"Ayrault, Pierre, 1536-1601.","","","0.0","{'authorized_name': ""ailly, pierre d', 1350-1420"", 'author_id': 'A4352'}","0.5007189512252808"
"Maurissens, Charles Lambert de, 1751-1833","","","0.0","{'authorized_name': 'richer, of saint-rémy', 'author_id': 'A4328'}","0.47446781396865845"
"Smith, Thomas, 1513-1577.","","","0.0","{'authorized_name': 'allen, p.s. (percy stafford), 1869-1933', 'author_id': 'A3370'}","0.6913913488388062"
